%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.912,82319.396,0.972,30.261,445.232,517.860,6.358,-13.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,90.974,248.356,23.667,-217.510,-296.333,-347.759,-374.818,-387.361,-347.101,-494.869,-446.132,-459.599,-456.986,-447.581,-467.167,-459.900
295.024,82329.535,0.972,30.276,445.563,518.766,6.358,-13.000,0.000,-2074.149,3917.671,-20.811,-0.036,0.042,75.704,246.011,19.491,-220.329,-299.680,-353.158,-391.695,-414.556,-375.794,-493.201,-488.751,-463.105,-450.818,-454.897,-437.936,-434.450
295.056,82407.478,0.973,30.254,445.281,518.619,6.353,-13.000,0.000,-2074.149,3917.671,60.142,-0.036,0.042,91.299,238.864,8.032,-240.169,-323.538,-373.615,-403.872,-416.483,-369.095,-425.022,-400.664,-423.690,-422.485,-430.757,-445.814,-438.954
295.160,82456.103,0.973,30.171,442.929,518.894,6.261,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,125.090,226.917,-2.032,-238.603,-305.773,-350.459,-382.616,-407.275,-365.517,-504.275,-530.334,-464.800,-454.541,-428.414,-427.566,-416.271
295.160,82456.103,0.973,30.171,442.929,518.894,6.261,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,128.123,220.104,-12.939,-255.311,-326.287,-366.346,-396.074,-409.845,-367.527,-454.452,-421.904,-419.754,-404.245,-413.363,-416.268,-399.151
294.901,82328.566,0.973,30.159,442.295,515.565,6.251,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,142.960,206.703,-19.889,-253.014,-320.456,-363.335,-389.772,-405.884,-365.182,-460.394,-542.675,-431.547,-400.690,-418.276,-410.152,-414.694
295.106,82432.081,0.973,30.149,442.254,518.330,6.256,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,135.271,217.089,-10.693,-248.732,-321.212,-366.450,-397.463,-408.774,-354.353,-422.870,-422.432,-409.449,-414.493,-414.513,-416.164,-424.605
295.254,82350.005,0.972,30.197,442.986,518.720,6.259,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,132.671,212.063,-18.392,-258.443,-332.066,-379.119,-409.427,-427.618,-386.841,-427.352,-439.941,-405.943,-411.983,-412.527,-421.036,-431.137
295.039,82315.780,0.972,30.154,441.874,514.356,6.242,-12.000,0.000,-2074.149,3917.671,104.223,-0.036,0.042,134.621,211.728,-20.424,-261.158,-329.475,-373.303,-400.240,-416.483,-360.047,-474.569,-428.444,-416.249,-408.951,-410.750,-416.786,-409.963
295.150,82455.909,0.973,30.156,442.513,518.471,6.259,-12.000,0.000,-2074.149,3917.671,104.223,-0.035,0.042,135.487,217.089,-11.656,-250.612,-321.379,-367.280,-395.754,-405.455,-348.994,-430.375,-444.582,-431.122,-380.195,-374.901,-371.490,-378.991
