#
# This text file contains four columns:
#  [1] the name of an exoplanet
#  [2] planet's radius, in Earth radii
#  [3] star's radius, in solar radii
#  [4] energy flux the planet receives from its star,
#       (relative to what Earth receives from the Sun)
#
Kepler-1124b,       1.28,  0.34, 2.42e+01
Kepler-1125b,       1.84,  0.94, 4.88e+01
Kepler-1126b,       1.73,  0.93, 4.69e+00
Kepler-1127b,       1.96,  0.95, 2.52e+02
Kepler-1128b,       3.65,  0.91, 7.88e+00
Kepler-1129b,       2.96,  1.00, 3.86e+01
Kepler-1129c,       2.73,  1.00, 8.37e+00
Kepler-1130b,       0.80,  0.81, 1.47e+02
Kepler-1131b,       1.59,  1.04, 5.44e+02
Kepler-1132b,       2.35,  0.83, 5.60e+00
Kepler-1133b,       1.97,  0.90, 7.36e+01
Kepler-1134b,       2.64,  0.81, 3.05e+01
Kepler-1135b,       1.85,  0.94, 6.68e+00
Kepler-1136b,       1.64,  0.68, 1.78e+02
Kepler-1137b,       2.20,  1.84, 1.89e+02
Kepler-1138b,       1.70,  0.92, 4.29e+02
Kepler-1139b,       1.19,  0.91, 2.54e+03
Kepler-113b,        1.82,  0.69, 8.46e+01
Kepler-113c,        2.18,  0.69, 3.65e+01
Kepler-1140b,       2.77,  0.73, 1.20e+01
Kepler-1141b,       0.82,  1.07, 9.66e+02
Kepler-1142b,       1.47,  0.96, 4.79e+01
Kepler-1143b,       1.67,  0.77, 2.54e+02
Kepler-1143c,       3.60,  0.77, 8.35e-01
Kepler-1144b,       1.99,  0.96, 5.44e+01
Kepler-1145b,       1.40,  0.75, 1.62e+02
Kepler-1146b,       1.23,  0.70, 2.18e+02
Kepler-1147b,       2.61,  1.14, 1.54e+02
Kepler-1148b,       1.69,  0.77, 9.17e+02
Kepler-1149b,       1.44,  1.01, 4.74e+02
Kepler-114b,        1.26,  0.67, 7.78e+01
Kepler-114c,        1.60,  0.67, 4.34e+01
Kepler-114d,        2.53,  0.67, 2.61e+01
Kepler-1150b,       1.02,  0.72, 1.91e+02
Kepler-1151b,       2.22,  0.85, 6.26e+00
Kepler-1152b,       0.87,  0.53, 1.25e+02
Kepler-1153b,       1.73,  0.88, 8.20e+02
Kepler-1154b,       2.34,  1.43, 7.36e+02
Kepler-1154c,       2.36,  1.43, 3.83e+02
Kepler-1155b,       2.03,  1.03, 2.64e+01
Kepler-1156b,       1.32,  1.00, 9.66e+01
Kepler-1157b,       1.09,  0.71, 9.30e+01
Kepler-1158b,       2.34,  1.95, 3.26e+02
Kepler-1159b,       2.37,  1.28, 7.97e+01
Kepler-115b,        1.09,  1.21, 1.37e+03
Kepler-115c,        2.60,  1.21, 2.35e+02
Kepler-1160b,       2.14,  0.89, 1.15e+02
Kepler-1161b,       2.13,  0.57, 1.51e+01
Kepler-1162b,       2.21,  0.84, 1.46e+01
Kepler-1163b,       1.03,  1.35, 5.29e+02
Kepler-1164b,       1.12,  0.79, 1.87e+02
Kepler-1165b,       1.55,  1.18, 2.06e+02
Kepler-1166b,       1.69,  0.86, 1.54e+01
Kepler-1167b,       1.71,  0.75, 9.41e+02
Kepler-1168b,       2.50,  0.82, 5.75e+00
Kepler-1169b,       0.94,  1.23, 4.06e+02
Kepler-116b,        3.42,  1.45, 5.89e+02
Kepler-116c,        2.30,  1.45, 2.07e+02
Kepler-1170b,       2.41,  0.76, 4.84e+01
Kepler-1171b,       2.56,  1.95, 9.96e+03
Kepler-1172b,       3.20,  0.89, 2.44e+01
Kepler-1173b,       0.89,  0.82, 1.89e+03
Kepler-1174b,       1.59,  1.04, 2.35e+02
Kepler-1175b,       2.99,  0.86, 1.29e+01
Kepler-1176b,       2.45,  1.02, 4.06e+01
Kepler-1177b,       1.90,  0.97, 4.75e+00
Kepler-1178b,       1.07,  0.75, 9.45e+00
Kepler-1179b,       1.32,  0.81, 3.43e+02
Kepler-117b,        8.06,  1.61, 1.54e+02
Kepler-117c,       12.34,  1.61, 4.09e+01
Kepler-1180b,       1.99,  1.14, 9.11e+01
Kepler-1181b,       1.57,  1.30, 6.27e+02
Kepler-1182b,       2.41,  1.05, 1.25e+02
Kepler-1183b,       2.82,  0.99, 2.92e+01
Kepler-1184b,       2.68,  1.07, 1.65e+01
Kepler-1185b,       1.33,  0.87, 3.72e+00
Kepler-1186b,       2.23,  0.93, 5.23e+01
Kepler-1187b,       2.61,  1.09, 6.82e+01
Kepler-1188b,       2.08,  1.06, 7.13e+01
Kepler-1189b,       1.77,  1.16, 6.53e+02
Kepler-118b,        1.96,  1.09, 1.62e+02
Kepler-118c,        7.68,  1.09, 4.35e+01
Kepler-1190b,       1.33,  0.72, 3.21e+01
Kepler-1191b,       1.51,  0.81, 1.37e+02
Kepler-1192b,       2.36,  0.83, 2.12e+01
Kepler-1193b,       1.32,  1.21, 9.95e+02
